[ 2013-06-02T23:05:18+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.061448s ]
[ 2013-06-02T23:05:18+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Tag[ view_filter ] --START--
[ 2013-06-02T23:05:18+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Run ContentReplace Behavior [ RunTime:0.000868s ]
[ 2013-06-02T23:05:18+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Run TokenBuild Behavior [ RunTime:0.001639s ]
[ 2013-06-02T23:05:18+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.001247s ]
[ 2013-06-02T23:05:18+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000913s ]
[ 2013-06-02T23:05:18+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.004944s ]
[ 2013-06-02T23:05:18+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Tag[ view_end ] --START--
[ 2013-06-02T23:05:18+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.002461s ]
[ 2013-06-02T23:05:18+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.002574s ]
[ 2013-06-02T23:05:18+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ route_check ] --START--
[ 2013-06-02T23:05:18+08:00 ] /index.php/Member/public/userline.html | INFO: Run CheckRoute Behavior [ RunTime:0.001398s ]
[ 2013-06-02T23:05:18+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.001559s ]
[ 2013-06-02T23:05:18+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ app_begin ] --START--
[ 2013-06-02T23:05:18+08:00 ] /index.php/Member/public/userline.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.000988s ]
[ 2013-06-02T23:05:18+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001112s ]
[ 2013-06-02T23:05:18+08:00 ] /index.php/Member/public/userline.html | NOTIC: [8] Undefined index: uc_enable BaseAction.class.php 第 15 行.
[ 2013-06-02T23:05:18+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ view_template ] --START--
[ 2013-06-02T23:05:18+08:00 ] /index.php/Member/public/userline.html | INFO: Run LocationTemplate Behavior [ RunTime:0.001736s ]
[ 2013-06-02T23:05:18+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ view_template ] --END-- [ RunTime:0.001861s ]
[ 2013-06-02T23:05:18+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ view_parse ] --START--
[ 2013-06-02T23:05:18+08:00 ] /index.php/Member/public/userline.html | INFO: Run ParseTemplate Behavior [ RunTime:0.016249s ]
[ 2013-06-02T23:05:18+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ view_parse ] --END-- [ RunTime:0.016352s ]
[ 2013-06-02T23:05:18+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ view_filter ] --START--
[ 2013-06-02T23:05:18+08:00 ] /index.php/Member/public/userline.html | INFO: Run ContentReplace Behavior [ RunTime:0.000805s ]
[ 2013-06-02T23:05:18+08:00 ] /index.php/Member/public/userline.html | INFO: Run TokenBuild Behavior [ RunTime:0.002806s ]
[ 2013-06-02T23:05:18+08:00 ] /index.php/Member/public/userline.html | INFO: Run WriteHtmlCache Behavior [ RunTime:0.000779s ]
[ 2013-06-02T23:05:18+08:00 ] /index.php/Member/public/userline.html | INFO: Run ShowRuntime Behavior [ RunTime:0.000972s ]
[ 2013-06-02T23:05:18+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ view_filter ] --END-- [ RunTime:0.005676s ]
[ 2013-06-02T23:05:18+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ view_end ] --START--
[ 2013-06-02T23:05:18+08:00 ] /index.php/Member/public/userline.html | INFO: Run ShowPageTrace Behavior [ RunTime:0.001013s ]
[ 2013-06-02T23:05:18+08:00 ] /index.php/Member/public/userline.html | INFO: Tag[ view_end ] --END-- [ RunTime:0.001117s ]
[ 2013-06-02T23:07:33+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Tag[ route_check ] --START--
[ 2013-06-02T23:07:33+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Run CheckRoute Behavior [ RunTime:0.003027s ]
[ 2013-06-02T23:07:33+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.003340s ]
[ 2013-06-02T23:07:33+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Tag[ app_begin ] --START--
[ 2013-06-02T23:07:33+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001527s ]
[ 2013-06-02T23:07:33+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001644s ]
[ 2013-06-02T23:07:33+08:00 ] /index.php/article/cate/id/fasdfasd.html | SQL: SHOW COLUMNS FROM `thinklc_article` [ RunTime:0.004511s ]
[ 2013-06-02T23:07:46+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Tag[ route_check ] --START--
[ 2013-06-02T23:07:46+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Run CheckRoute Behavior [ RunTime:0.001939s ]
[ 2013-06-02T23:07:46+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Tag[ route_check ] --END-- [ RunTime:0.002076s ]
[ 2013-06-02T23:07:46+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Tag[ app_begin ] --START--
[ 2013-06-02T23:07:46+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Run ReadHtmlCache Behavior [ RunTime:0.001714s ]
[ 2013-06-02T23:07:46+08:00 ] /index.php/article/cate/id/fasdfasd.html | INFO: Tag[ app_begin ] --END-- [ RunTime:0.001817s ]
[ 2013-06-02T23:07:46+08:00 ] /index.php/article/cate/id/fasdfasd.html | SQL: SHOW COLUMNS FROM `thinklc_article` [ RunTime:0.003706s ]
[ 2013-06-02T23:07:46+08:00 ] /index.php/article/cate/id/fasdfasd.html | NOTIC: [8] Undefined variable: CATEGORY_LIST ArticleAction.class.php 第 43 行.
[ 2013-06-02T23:07:46+08:00 ] /index.php/article/cate/id/fasdfasd.html | NOTIC: [8] Undefined index: HTTP_REFERER ArticleAction.class.php 第 48 行.
[ 2013-06-02T23:07:46+08:00 ] /index.php/article/cate/id/fasdfasd.html | SQL: SELECT COUNT(id) AS tp_count FROM `thinklc_article` WHERE ( catid=4 AND (topstatus=0 OR toptotime<1370185666) AND status=1 AND topnum=1 AND (expired=0 OR expired>=1370185666) ) LIMIT 1   [ RunTime:0.000300s ]
[ 2013-06-02T23:07:46+08:00 ] /index.php/article/cate/id/fasdfasd.html | SQL: SHOW COLUMNS FROM `thinklc_article_top` [ RunTime:0.003377s ]
